geocode,block group id,name,address,preference,# jobs salary <$3333 walk (0.5 mi radius),walk_job_weight,walk_job,# jobs salary <$3333 bike (4 mi radius),bike_job_weight,bike_job,# jobs salary < $3333 driving (10 mi radius),drive_job_weight,drive_job,job_score,unemployed but in cvilian labor force,total in civilian labor force,"Unemployment rate (SOUCE: 2016 Census, by Blcok Group)",Employment Rate (100-Unemployment),employ,final_job_score,# healthcare 1600m radius,S-Curve Score,healthcare,# physicians 1600m radius,S-Curve Score,physician,final_health_score,walk score,walk_weight,walk,transit score,transit_weight,public_transit_score,bikable,bike_weight,bike,mobility_score,# elementary,elementary_weight,elementary,# middle,middle_weight,middle,# high,high_weight,high,final_edu_score,"Crime per 100,000","Safety score (100,000-crime)",safety,park in 800m radius,park s-curve score,park_weight,park,library in 800m radius,library s-curve score,library_weight,library,grocery stores in 800m radius,groceries s-curve score,grocery_weight,grocery,amenities_score,final_property_score,job_need,health_need,edu_need,public_transport_need,park_need,library_need,grocery_need,mobility_need
48453001805,484530018051,Thurmond Heights Apartments,"8426 goldfinch court, austin, tx 78758","elderly, disabled, displacement",1453,0.3333333333,7.761940147,116052,0.3333333333,67.58464595,320216,0.3333333333,95.0720712,56.8062191,72,888,8.108108108,91.89189189,44.72537053,50.76579482,4,0.96,92.59259259,12,1,100,96.2962963,54,0.3333333333,28.57142857,55,0.3333333333,64.28571429,54,0.3333333333,8.888888889,18.73015873,8,0.3333333333,63.63636364,6,0.3333333333,45.45454545,7,0.3333333333,54.54545455,54.54545455,"5,188","94,812",14.14691943,0,0,0.3333333333,0,0,0,0.3333333333,0,2,0.76,0.3333333333,76,25.33333333,41.64114868,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453000902,484530009023,Santa Rita Courts,"2341 corta st, austin, tx 78702","elderly, disabled, displacement",1331,0.3333333333,6.937782882,129260,0.3333333333,81.11161181,290937,0.3333333333,66.74760569,51.59900013,52,561,9.26916221,90.73083779,36.81022751,44.20461382,5,0.99,98.14814815,11,1,100,99.07407407,80,0.3333333333,81.63265306,47,0.3333333333,35.71428571,94,0.3333333333,97.77777778,89.70521542,8,0.3333333333,63.63636364,6,0.3333333333,45.45454545,9,0.3333333333,72.72727273,60.60606061,"2,289","97,711",82.8436019,3,0.91,0.3333333333,91,0,0,0.3333333333,0,6,1,0.3333333333,100,63.66666667,67.01642795,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453001100,484530011002,Lakeside Apartments,"85 trinity street, austin, tx 78701","elderly, disabled, displacement",15107,0.3333333333,100,147703,0.3333333333,100,300695,0.3333333333,76.18748186,92.06249395,25,1225,2.040816327,97.95918367,86.08733816,89.07491606,17,1,100,50,1,100,100,89,0.3333333333,100,65,0.3333333333,100,93,0.3333333333,95.55555556,97.77777778,11,0.3333333333,90.90909091,11,0.3333333333,90.90909091,10,0.3333333333,81.81818182,87.87878788,"1,565","98,435",100,9,1,0.3333333333,100,3,1,0.3333333333,100,15,1,0.3333333333,100,100,97.19238686,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453000902,484530009024,Chalmers Courts,"1801 e 4th st, austin, tx 78702","elderly, disabled, displacement, mobility",2434,0.3333333333,14.38897521,135148,0.3333333333,87.14180373,297692,0.3333333333,73.28238367,58.2710542,3,541,0.5545286506,99.44547135,96.2196649,77.24535955,15,1,100,41,1,100,100,87,0.3333333333,95.91836735,45,0.3333333333,28.57142857,92,0.3333333333,93.33333333,94.62585034,8,0.3333333333,63.63636364,6,0.3333333333,45.45454545,9,0.3333333333,72.72727273,60.60606061,"1,835","98,165",93.60189573,5,0.99,0.3333333333,99,1,0.46,0.3333333333,46,8,1,0.3333333333,100,81.66666667,77.73895498,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453000804,484530008042,Salina Courts,"1143 salina st, austin, tx 78702","elderly, disabled, displacement",666,0.3333333333,2.445450247,141546,0.3333333333,93.69431187,301242,0.3333333333,76.71664893,57.61880368,53,677,7.828655835,92.17134417,46.63045377,52.12462873,5,0.99,98.14814815,15,1,100,99.07407407,83,0.3333333333,87.75510204,47,0.3333333333,35.71428571,95,0.3333333333,100,93.87755102,9,0.3333333333,72.72727273,8.5,0.3333333333,68.18181818,9,0.3333333333,72.72727273,71.21212121,"1,826","98,174",93.81516588,2,0.76,0.3333333333,76,3,1,0.3333333333,100,4,0.96,0.3333333333,96,90.66666667,79.75753629,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453000804,484530008041,Rosewood Courts,"2001 rosewood ave, austin, tx 78702","elderly, disabled, displacement",543,0.3333333333,1.614537594,142847,0.3333333333,95.0267303,301995,0.3333333333,77.44510013,58.02878934,60,644,9.316770186,90.68322981,36.48567421,47.25723178,3,0.91,83.33333333,11,1,100,91.66666667,84,0.3333333333,89.79591837,48,0.3333333333,39.28571429,94,0.3333333333,97.77777778,93.78684807,9,0.3333333333,72.72727273,8.5,0.3333333333,68.18181818,9,0.3333333333,72.72727273,71.21212121,"1,826","98,174",93.81516588,1,0.46,0.3333333333,46,3,1,0.3333333333,100,4,0.96,0.3333333333,96,80.66666667,75.4470831,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453001820,484530018202,Northgate Apartments,"9120 northgate blvd, austin, tx 78758","disabled, displacement",1450,0.3333333333,7.741673985,109943,0.3333333333,61.328117,317724,0.3333333333,92.66131373,53.91036824,48,1325,3.622641509,96.37735849,75.30371272,64.60704048,10,1,100,39,1,100,100,59,0.3333333333,38.7755102,47,0.3333333333,35.71428571,58,0.3333333333,17.77777778,28.27664399,8,0.3333333333,63.63636364,6,0.3333333333,45.45454545,7,0.3333333333,54.54545455,54.54545455,"5,188","94,812",14.14691943,0,0,0.3333333333,0,0,0,0.3333333333,0,6,1,0.3333333333,100,33.33333333,44.14337157,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453001806,484530018064,Georgian Manor,"110 bolles circle, austin, tx 78753","disabled, displacement",1232,0.3333333333,6.268999527,110429,0.3333333333,61.82585363,319926,0.3333333333,94.79152559,54.29545958,0,169,0,100,100,77.14772979,3,0.91,83.33333333,11,1,100,91.66666667,57,0.3333333333,34.69387755,52,0.3333333333,53.57142857,57,0.3333333333,15.55555556,25.12471655,7,0.3333333333,54.54545455,6,0.3333333333,45.45454545,7,0.3333333333,54.54545455,51.51515152,"5,785","94,215",0,0,0,0.3333333333,0,0,0,0.3333333333,0,4,0.96,0.3333333333,96,32,43.89174368,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453002106,484530021061,Gaston Place,"1941 gaston place drive, austin, tx 78723","elderly, disabled, displacement",304,0.3333333333,0,102058,0.3333333333,53.25269863,311265,0.3333333333,86.41288575,46.55519479,32,471,6.794055202,93.2059448,53.68353766,50.11936623,5,0.99,98.14814815,12,1,100,99.07407407,46,0.3333333333,12.24489796,41,0.3333333333,14.28571429,66,0.3333333333,35.55555556,23.90022676,7,0.3333333333,54.54545455,0,0.3333333333,0,6,0.3333333333,45.45454545,33.33333333,"3,391","96,609",56.72985782,0,0,0.3333333333,0,1,0.46,0.3333333333,46,1,0.46,0.3333333333,46,30.66666667,41.04917472,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453000206,484530002063,North Loop Apartments,"2300 North Loop Boulevard, austin, tx 78756","near elderly, disabled, displacement",1662,0.3333333333,9.173816118,144597,0.3333333333,96.81899183,325310,0.3333333333,100,68.66426932,20,903,2.214839424,97.78516058,84.90098715,76.78262823,39,1,100,50,1,100,100,75,0.3333333333,71.42857143,44,0.3333333333,25,92,0.3333333333,93.33333333,82.38095238,11,0.3333333333,90.90909091,10,0.3333333333,81.81818182,11,0.3333333333,90.90909091,87.87878788,"1,565","98,435",100,0,0,0.3333333333,0,1,0.46,0.3333333333,46,6,1,0.3333333333,100,48.66666667,68.67137428,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453001304,484530013044,Goodrich Place,"2126 goodrich ave, austin, tx 78704","elderly, disabled, displacement",1878,0.3333333333,10.6329798,132476,0.3333333333,84.40527642,279843,0.3333333333,56.0152849,50.35118037,7,605,1.157024793,98.84297521,92.1123256,71.23175299,2,0.76,55.55555556,16,1,100,77.77777778,66,0.3333333333,53.06122449,47,0.3333333333,35.71428571,91,0.3333333333,91.11111111,72.0861678,11,0.3333333333,90.90909091,11,0.3333333333,90.90909091,10,0.3333333333,81.81818182,87.87878788,"1,565","98,435",100,5,0.99,0.3333333333,99,0,0,0.3333333333,0,4,0.96,0.3333333333,96,65,71.07653024,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453002004,484530020051,Manchaca Village,"3628 manchaca road, austin, tx 78704","disabled, displacement",2145,0.3333333333,12.43666824,118220,0.3333333333,69.80500195,266349,0.3333333333,42.96120731,41.7342925,31,1467,2.113156101,97.8868439,85.59418314,63.66423782,39,1,100,50,1,100,100,72,0.3333333333,65.30612245,50,0.3333333333,46.42857143,84,0.3333333333,75.55555556,70.430839,8,0.3333333333,63.63636364,8,0.3333333333,63.63636364,7,0.3333333333,54.54545455,60.60606061,"1,720","98,280",96.32701422,2,0.76,0.3333333333,76,0,0,0.3333333333,0,8,1,0.3333333333,100,58.66666667,68.16185812,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453002402,484530024022,Shadow Bend Apartments,"6328 shadow bend, austin, tx 78745","disabled, displacement",675,0.3333333333,2.506248733,50061,0.3333333333,0,221940,0.3333333333,0,0.8354162445,18,1500,1.2,98.8,91.81935484,46.32738554,1,0.46,0,4,0.96,0,0,65,0.3333333333,51.02040816,47,0.3333333333,35.71428571,61,0.3333333333,24.44444444,37.7324263,8,0.3333333333,63.63636364,7,0.3333333333,54.54545455,7,0.3333333333,54.54545455,57.57575758,"4,778","95,222",23.86255924,0,0,0.3333333333,0,1,0.46,0.3333333333,46,4,0.96,0.3333333333,96,47.33333333,38.13471271,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453001811,484530018111,Coronado Hills,"1438 coronado hills dr, austin, tx 78752","disabled, displacement",3975,0.3333333333,24.79902722,100131,0.3333333333,51.27916266,312009,0.3333333333,87.13263036,54.40360675,21,1067,1.968134958,98.03186504,86.5828219,70.49321432,5,0.99,98.14814815,11,1,100,99.07407407,55,0.3333333333,30.6122449,43,0.3333333333,21.42857143,54,0.3333333333,8.888888889,19.75056689,7,0.3333333333,54.54545455,6,0.3333333333,45.45454545,6,0.3333333333,45.45454545,48.48484848,"4,410","95,590",32.58293839,0,0,0.3333333333,0,1,0.46,0.3333333333,46,3,0.91,0.3333333333,91,45.66666667,47.64602373,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453000802,484530008023,Booker T. Washington Terraces,"905 bedford street, austin, tx 78702","disabled, displacement",317,0.3333333333,0.08782003648,141229,0.3333333333,93.3696565,300317,0.3333333333,75.82180517,56.42642723,93,634,14.66876972,85.33123028,0,28.21321362,1,0.46,0,6,1,100,50,56,0.3333333333,32.65306122,49,0.3333333333,42.85714286,79,0.3333333333,64.44444444,48.54875283,7,0.3333333333,54.54545455,9,0.3333333333,72.72727273,9,0.3333333333,72.72727273,66.66666667,"3,080","96,920",64.09952607,0,0,0.3333333333,0,1,0.46,0.3333333333,46,2,0.76,0.3333333333,76,40.66666667,46.93170023,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453001305,484530013052,Meadowbrook Apartments,"1201 west live oak street, austin, tx 78704","disabled, displacement",2305,0.3333333333,13.51753023,135167,0.3333333333,87.16126257,278973,0.3333333333,55.17364806,51.95081362,42,870,4.827586207,95.17241379,67.08935855,59.52008608,2,0.76,55.55555556,13,1,100,77.77777778,61,0.3333333333,42.85714286,50,0.3333333333,46.42857143,84,0.3333333333,75.55555556,59.20634921,8,0.3333333333,63.63636364,8,0.3333333333,63.63636364,7.5,0.3333333333,59.09090909,62.12121212,"1,565","98,435",100,6,1,0.3333333333,100,1,0.46,0.3333333333,46,6,1,0.3333333333,100,82,72.33933296,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453001307,484530013073,Bouldin Oaks Apartments,"1203 cumberland road, austin, tx 78704","disabled, displacement",1377,0.3333333333,7.248530703,131935,0.3333333333,83.85121157,273561,0.3333333333,49.93808649,47.01260959,36,1234,2.917341977,97.08265802,80.11188372,63.56224666,29,1,100,50,1,100,100,42,0.3333333333,4.081632653,47,0.3333333333,35.71428571,66,0.3333333333,35.55555556,19.8185941,9,0.3333333333,72.72727273,8,0.3333333333,63.63636364,6,0.3333333333,45.45454545,60.60606061,"1,565","98,435",100,5,0.99,0.3333333333,99,0,0,0.3333333333,0,3,0.91,0.3333333333,91,63.33333333,63.3001319,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48453001713,484530017133,Manchaca II,"6113 buffalo pass, austin, tx 78745","disabled, displacement",645,0.3333333333,2.303587111,53103,0.3333333333,3.115462608,225578,0.3333333333,3.519396343,2.979482021,75,1145,6.550218341,93.44978166,55.34582336,29.16265269,9,1,100,25,1,100,100,40,0.3333333333,0,37,0.3333333333,0,50,0.3333333333,0,0,7,0.3333333333,54.54545455,8,0.3333333333,63.63636364,8,0.3333333333,63.63636364,60.60606061,"3,597","96,403",51.84834123,1,0.46,0.3333333333,46,0,0,0.3333333333,0,0,0,0.3333333333,0,15.33333333,31.9574505,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5